"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","111","Переход в раздел 'Контакты'","tests","Wed Oct 22 23:19:13 MSK 2025","passed","Wed Oct 22 23:19:13 MSK 2025","TestMainPage","Главная страница effective-mobile.ru","",""
"","172","Проверка возврата на главную через логотип","tests","Wed Oct 22 23:19:19 MSK 2025","passed","Wed Oct 22 23:19:19 MSK 2025","TestMainPage","Главная страница effective-mobile.ru","",""
"","90","Переход в раздел 'Выбрать специалиста'","tests","Wed Oct 22 23:19:16 MSK 2025","passed","Wed Oct 22 23:19:16 MSK 2025","TestMainPage","Главная страница effective-mobile.ru","",""
"","102","Переход в раздел 'О нас'","tests","Wed Oct 22 23:18:59 MSK 2025","passed","Wed Oct 22 23:18:59 MSK 2025","TestMainPage","Главная страница effective-mobile.ru","",""
"","101","Переход в раздел 'Проекты'","tests","Wed Oct 22 23:19:05 MSK 2025","passed","Wed Oct 22 23:19:05 MSK 2025","TestMainPage","Главная страница effective-mobile.ru","",""
"","38","Проверка заголовка главной страницы","tests","Wed Oct 22 23:18:55 MSK 2025","passed","Wed Oct 22 23:18:55 MSK 2025","TestMainPage","Главная страница effective-mobile.ru","",""
"","1767","test_run","tests","Wed Oct 22 23:19:20 MSK 2025","passed","Wed Oct 22 23:19:21 MSK 2025","","test_simple","",""
"","96","Переход в раздел 'Услуги'","tests","Wed Oct 22 23:19:02 MSK 2025","passed","Wed Oct 22 23:19:02 MSK 2025","TestMainPage","Главная страница effective-mobile.ru","",""
"","112","Переход в раздел 'Отзывы'","tests","Wed Oct 22 23:19:09 MSK 2025","passed","Wed Oct 22 23:19:10 MSK 2025","TestMainPage","Главная страница effective-mobile.ru","",""
